lexicon,proportion
0,0.00392857142857
1,0.00392857142857
2,0.00392857142857
3,0.00392857142857
4,0.00392857142857
5,0.00392857142857
6,0.00392857142857
7,0.00392857142857
8,0.00392857142857
9,0.00392857142857
10,0.00392857142857
11,0.00392857142857
12,0.00392857142857
13,0.00392857142857
14,0.00392857142857
15,0.00392857142857
16,0.00392857142857
17,0.00392857142857
18,0.00392857142857
19,0.00392857142857
20,0.00392857142857
21,0.00392857142857
22,0.00392857142857
23,0.00392857142857
24,0.00392857142857
25,0.00392857142857
26,0.00392857142857
27,0.00392857142857
28,0.00392857142857
29,0.00392857142857
30,0.00392857142857
31,0.00392857142857
32,0.00392857142857
33,0.00392857142857
34,0.00392857142857
35,0.00392857142857
36,0.00392857142857
37,0.00392857142857
38,0.00392857142857
39,0.00392857142857
40,0.00392857142857
41,0.00392857142857
42,0.00392857142857
43,0.00392857142857
44,0.00392857142857
45,0.0025
46,0.00392857142857
47,0.00392857142857
48,0.00392857142857
49,0.00392857142857
50,0.00392857142857
51,0.00392857142857
52,0.00392857142857
53,0.00392857142857
54,0.00392857142857
55,0.00392857142857
56,0.00392857142857
57,0.0025
58,0.00392857142857
59,0.00392857142857
60,0.00392857142857
61,0.00392857142857
62,0.00392857142857
63,0.00392857142857
64,0.00392857142857
65,0.00392857142857
66,0.00392857142857
67,0.00392857142857
68,0.00392857142857
69,0.00392857142857
70,0.00392857142857
71,0.00392857142857
72,0.00392857142857
73,0.00392857142857
74,0.00392857142857
75,0.00392857142857
76,0.00392857142857
77,0.00392857142857
78,0.00392857142857
79,0.00392857142857
80,0.00392857142857
81,0.00392857142857
82,0.00392857142857
83,0.00392857142857
84,0.00392857142857
85,0.00392857142857
86,0.00392857142857
87,0.00392857142857
88,0.00392857142857
89,0.00392857142857
90,0.00392857142857
91,0.00392857142857
92,0.00392857142857
93,0.00392857142857
94,0.00392857142857
95,0.00392857142857
96,0.00392857142857
97,0.00392857142857
98,0.00392857142857
99,0.00392857142857
100,0.00392857142857
101,0.00392857142857
102,0.00392857142857
103,0.00392857142857
104,0.00392857142857
105,0.00392857142857
106,0.00392857142857
107,0.00392857142857
108,0.0025
109,0.00392857142857
110,0.00392857142857
111,0.00392857142857
112,0.00392857142857
113,0.00392857142857
114,0.00392857142857
115,0.00392857142857
116,0.00392857142857
117,0.00392857142857
118,0.00392857142857
119,0.00392857142857
120,0.0025
121,0.00392857142857
122,0.00392857142857
123,0.00392857142857
124,0.00392857142857
125,0.00392857142857
126,0.00392857142857
127,0.00392857142857
128,0.00392857142857
129,0.00392857142857
130,0.00392857142857
131,0.00392857142857
132,0.00392857142857
133,0.00392857142857
134,0.00392857142857
135,0.00392857142857
136,0.00392857142857
137,0.00392857142857
138,0.00392857142857
139,0.00392857142857
140,0.00392857142857
141,0.00392857142857
142,0.00392857142857
143,0.00392857142857
144,0.00392857142857
145,0.00392857142857
146,0.00392857142857
147,0.00392857142857
148,0.00392857142857
149,0.00392857142857
150,0.00392857142857
151,0.00392857142857
152,0.00392857142857
153,0.00392857142857
154,0.00392857142857
155,0.00392857142857
156,0.00392857142857
157,0.00392857142857
158,0.00392857142857
159,0.00392857142857
160,0.00392857142857
161,0.00392857142857
162,0.00392857142857
163,0.00392857142857
164,0.00392857142857
165,0.00392857142857
166,0.00392857142857
167,0.00392857142857
168,0.00392857142857
169,0.00392857142857
170,0.00392857142857
171,0.00392857142857
172,0.00392857142857
173,0.00392857142857
174,0.00392857142857
175,0.00392857142857
176,0.00392857142857
177,0.00392857142857
178,0.00392857142857
179,0.00392857142857
180,0.00392857142857
181,0.00392857142857
182,0.00392857142857
183,0.00392857142857
184,0.00392857142857
185,0.00392857142857
186,0.00392857142857
187,0.00392857142857
188,0.00392857142857
189,0.00392857142857
190,0.00392857142857
191,0.00392857142857
192,0.00392857142857
193,0.00392857142857
194,0.00392857142857
195,0.00392857142857
196,0.00392857142857
197,0.00392857142857
198,0.00392857142857
199,0.00392857142857
200,0.00392857142857
201,0.00392857142857
202,0.00392857142857
203,0.00392857142857
204,0.00392857142857
205,0.00392857142857
206,0.00392857142857
207,0.00392857142857
208,0.00392857142857
209,0.00392857142857
210,0.00392857142857
211,0.00392857142857
212,0.00392857142857
213,0.00392857142857
214,0.00392857142857
215,0.00392857142857
216,0.00392857142857
217,0.00392857142857
218,0.00392857142857
219,0.00392857142857
220,0.00392857142857
221,0.00392857142857
222,0.00392857142857
223,0.00392857142857
224,0.00392857142857
225,0.00392857142857
226,0.00392857142857
227,0.00392857142857
228,0.00392857142857
229,0.00392857142857
230,0.00392857142857
231,0.00392857142857
232,0.00392857142857
233,0.00392857142857
234,0.00392857142857
235,0.00392857142857
236,0.00392857142857
237,0.00392857142857
238,0.00392857142857
239,0.00392857142857
240,0.00392857142857
241,0.00392857142857
242,0.00392857142857
243,0.00392857142857
244,0.00392857142857
245,0.00392857142857
246,0.00392857142857
247,0.00392857142857
248,0.00392857142857
249,0.00392857142857
250,0.00392857142857
251,0.00392857142857
252,0.00392857142857
253,0.00392857142857
254,0.00392857142857
255,0.00392857142857
